PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1983937	1471976668773	1471976668932	w	87
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1983942	1471976669135	1471976669313	e	69
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1983949	1471976669375	1471976669532	 	32
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1983955	1471976669989	1471976670183	w	87
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1983961	1471976670308	1471976670375	i	73
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984020	1471976670501	1471976670623	l	76
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984028	1471976670717	1471976670859	l	76
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984039	1471976670939	1471976671062	 	32
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984047	1471976671155	1471976671294	b	66
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984056	1471976671340	1471976671507	e	69
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984145	1471976671523	1471976671677	 	32
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984149	1471976672020	1471976672189	d	68
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984155	1471976672149	1471976672314	i	73
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984162	1471976672424	1471976672566	n	78
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984168	1471976673021	1471976673153	i	73
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984264	1471976673202	1471976673338	n	78
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984270	1471976673416	1471976673617	g	71
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984273	1471976673586	1471976673756	 	32
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984278	1471976674370	1471976674559	g	71
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984283	1471976674622	1471976674777	a	65
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984399	1471976675029	1471976675150	BKSP	8
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984405	1471976675259	1471976675367	BKSP	8
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984409	1471976675367	1471976675532	f	70
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984414	1471976675532	1471976675669	a	65
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984418	1471976675778	1471976675918	s	83
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984423	1471976675996	1471976676168	h	72
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984426	1471976676340	1471976676502	i	73
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984615	1471976676613	1471976676756	n	78
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984619	1471976677666	1471976677750	BKSP	8
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984626	1471976678518	1471976678635	o	79
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984630	1471976678760	1471976678887	n	78
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984635	1471976679136	1471976679301	a	65
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984638	1471976679885	1471976680039	b	66
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984772	1471976680087	1471976680240	l	76
3934	41560	We will be dining fashionably late.	we will be dining fashionably late.	1984778	1471976680552	1471976680568	y	89
